                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3982,                0.60474,                 1.0322,                0.86027,                0.92345,                0.93879,                0.86723,                0.44199,                0.45123,                 1.0925,              0.0072973,              0.0072973,              0.0072973
                     37,                0.40264,                0.60199,                 1.0403,                0.86841,                0.90411,                0.94401,                0.86128,                 0.4486,                0.45093,                 1.0954,              0.0071576,              0.0071576,              0.0071576
                     38,                0.38924,                0.58979,                 1.0262,                0.90233,                0.88553,                 0.9401,                0.86905,                  0.435,                0.41587,                 1.0818,              0.0070159,              0.0070159,              0.0070159
                     39,                0.39619,                0.59227,                 1.0298,                0.83764,                0.91303,                0.94096,                0.85859,                0.44978,                0.47089,                  1.093,              0.0068722,              0.0068722,              0.0068722
                     40,                0.38897,                0.57986,                 1.0277,                0.82263,                0.90775,                0.94316,                0.86638,                0.43665,                0.40445,                 1.0769,              0.0067268,              0.0067268,              0.0067268
                     41,                0.38979,                0.56341,                 1.0253,                0.85242,                0.93796,                0.94949,                0.86374,                0.46158,                0.41848,                 1.1006,              0.0065796,              0.0065796,              0.0065796
                     42,                 0.3851,                0.56762,                 1.0232,                0.82158,                0.94455,                0.95003,                0.87356,                0.43747,                0.39601,                 1.0807,               0.006431,               0.006431,               0.006431
                     43,                0.38546,                0.54317,                 1.0222,                0.90118,                0.93515,                0.95968,                0.87691,                0.43511,                0.36986,                 1.0735,               0.006281,               0.006281,               0.006281
                     44,                0.38056,                0.55382,                  1.019,                0.82335,                0.94249,                0.93772,                0.86373,                0.42636,                0.40886,                 1.0673,              0.0061298,              0.0061298,              0.0061298
                     45,                0.38093,                0.54478,                 1.0175,                0.88123,                 0.9434,                 0.9565,                0.87738,                0.44243,                0.33973,                 1.0899,              0.0059775,              0.0059775,              0.0059775
                     46,                 0.3862,                0.53569,                 1.0206,                0.86144,                0.93734,                0.94235,                0.86578,                0.45056,                0.40976,                 1.0958,              0.0058244,              0.0058244,              0.0058244
                     47,                0.37779,                0.52511,                 1.0187,                0.88479,                0.93833,                0.96059,                0.89786,                0.40225,                0.31862,                 1.0417,              0.0056704,              0.0056704,              0.0056704
